DISTRICT BY ADDRESS,paymeter Account Number
Agbara,7770000017
Agbara,7770000085
Agbara,7770000095
Agbara,7770000100
Agbara,7770000114
Agbara,7770000159
Agbara,7770000225
Agbara,7770000258
Agbara,7770000269
Agbara,7770000272
Agbara,7770000279
Agbara,7770000319
Agbara,7770000359
Agbara,7770000380
Agbara,7770000382
Agbara,7770000407
Agbara,7770000419
Agbara,7770000434
Agbara,7770000435
Agbara,7770000438
Agbara,7770000443
Agbara,7770000447
Agbara,7770000448
Agbara,7770000449
Agbara,7770000454
Agbara,7770000484
Agbara,7770000487
Agbara,7770000509
Agbara,7770000522
Agbara,9623817646
Agbara,9639936195
Agbara,9639937817
Agbara,9639937848
Agbara,9639939103
Agbara,9639940839
Agbara,9639941056
Agbara,9639944057
Agbara,9639945016
Agbara,9639948866
Agbara,9639958409
Agbara,9639962435
Agbara,9639965711
Agbara,9639967124
Agbara,9639971459
Agbara,9639971583
Agbara,9639974814
Agbara,9639979981
Agbara,9639986413
Agbara,9639988462
Agbara,9640004496
Agbara,9640008937
Agbara,9640011526
Agbara,9640012860
Agbara,9640013269
Agbara,9640016648
Agbara,9640016772
Agbara,9640019340
Agbara,9640019498
Agbara,9640023390
Agbara,9640024177
Agbara,9640024380
Agbara,9640031788
Agbara,9640036862
Agbara,9640038000
Agbara,9640042074
Agbara,9640045288
Agbara,9640046797
Agbara,9640047134
Agbara,9640047701
Agbara,9640049183
Agbara,9640055182
Agbara,9640055412
Agbara,9640058671
Agbara,9640062968
Agbara,9640064175
Agbara,9640070909
Agbara,9640072680
Agbara,9640076451
Agbara,9640076523
Agbara,9640079610
Agbara,9640084825
Agbara,9640087541
Agbara,9640093478
Agbara,9640093540
Agbara,9640095661
Agbara,9640097531
Agbara,9640100958
Agbara,9640103564
Agbara,9640107115
Agbara,9640107782
Agbara,9640113413
Agbara,9640116641
Agbara,9640116696
Agbara,9640117813
Agbara,9640121423
Agbara,9640122372
Agbara,9640124228
Agbara,9640138003
Agbara,9640138261
Agbara,9640139529
Agbara,9640139718
Agbara,9640142156
Agbara,9640144985
Agbara,9640145968
Agbara,9640151321
Agbara,9640152191
Agbara,9640152751
Agbara,9640153222
Agbara,9640153758
Agbara,9640179730
Agbara,9640180332
Agbara,9640187678
Agbara,9640190061
Agbara,9640190803
Agbara,9640198373
Agbara,9640198672
Agbara,9640208830
Agbara,9640209318
Agbara,9640210350
Agbara,9640211058
Agbara,9640214372
Agbara,9640214523
Agbara,9640215393
Agbara,9640219748
Agbara,9640224630
Agbara,9640230031
Agbara,9640230938
Agbara,9640232437
Agbara,9640233362
Agbara,9640234015
Agbara,9640243596
Agbara,9640245875
Agbara,9640248467
Agbara,9640251379
Agbara,9640254033
Agbara,9640256989
Agbara,9640258691
Agbara,9640260757
Agbara,9640260984
Agbara,9640263583
Agbara,9640266302
Agbara,9640269389
Agbara,9640271885
Agbara,9640274185
Agbara,9640274958
Agbara,9640289015
Agbara,9640291542
Agbara,9640291999
Agbara,9640292556
Agbara,9640295928
Agbara,9640303436
Agbara,9640304921
Agbara,9640315341
Agbara,9640319985
Agbara,9640326390
Agbara,9640328875
Agbara,9640329559
Agbara,9640340536
Agbara,9640343142
Agbara,9640343850
Agbara,9640344132
Agbara,9640348532
Agbara,9640362998
Agbara,9640364655
Agbara,9640369234
Agbara,9640369636
Agbara,9640369650
Agbara,9640370771
Agbara,9640371857
Agbara,9640374793
Agbara,9640377873
Agbara,9640385807
Agbara,9640391507
Agbara,9640395086
Agbara,9640398719
Agbara,9640401545
Agbara,9640401765
Agbara,9640406179
Agbara,9640415461
Agbara,9640417609
Agbara,9640424423
Agbara,9640428249
Agbara,9640432426
Agbara,9640435568
Agbara,9640436730
Agbara,9640442997
Agbara,9640444551
Agbara,9640447796
Agbara,9640449611
Agbara,9640452066
Agbara,9640453764
Agbara,9640454060
Agbara,9640457119
Agbara,9640459027
Agbara,9640466645
Agbara,9640473854
Agbara,9640474363
Agbara,9640474583
Agbara,9640474947
Agbara,9640476329
Agbara,9640476738
Agbara,9640481149
Agbara,9640483875
Agbara,9640485707
Agbara,9640491380
Agbara,9640494154
Agbara,9640494446
Agbara,9640495333
Agbara,9640496976
Agbara,9640498877
Agbara,9640500046
Agbara,9640501775
Agbara,9640503951
Agbara,9640505584
Agbara,9640507973
Agbara,9640508389
Agbara,9640511789
Agbara,9640512511
Agbara,9640512700
Agbara,9640518049
Agbara,9640518520
Agbara,9640521542
Agbara,9640527568
Agbara,9640528170
Agbara,9640529816
Agbara,9640533835
Agbara,9640534014
Agbara,9640545544
Agbara,9640547270
Agbara,9640550175
Agbara,9640552430
Agbara,9640552564
Agbara,9640555723
Agbara,9640564486
Agbara,9640565452
Agbara,9640566222
Agbara,9640567937
Agbara,9640569845
Agbara,9640572654
Agbara,9640576731
Agbara,9640577381
Agbara,9640580547
Agbara,9640583452
Agbara,9643718826
Agbara,9644477025
Agbara,9645616287
Agbara,9646348589
Agbara,9646733534
Agbara,9647278962
Ajah,7770000021
Ajah,7770000048
Ajah,7770000051
Ajah,7770000054
Ajah,7770000056
Ajah,7770000081
Ajah,7770000113
Ajah,7770000117
Ajah,7770000142
Ajah,7770000182
Ajah,7770000184
Ajah,7770000239
Ajah,7770000260
Ajah,7770000275
Ajah,7770000276
Ajah,7770000281
Ajah,7770000303
Ajah,7770000318
Ajah,7770000326
Ajah,7770000347
Ajah,7770000368
Ajah,7770000392
Ajah,7770000411
Ajah,7770000420
Ajah,7770000445
Ajah,7770000466
Ajah,7770000508
Ajah,7770000513
Ajah,9618510505
Ajah,9625610487
Ajah,9628948697
Ajah,9629875464
Ajah,9633563335
Ajah,9634402749
Ajah,9635627710
Ajah,9636498384
Ajah,9638365723
Ajah,9639936047
Ajah,9639941001
Ajah,9639941953
Ajah,9639942228
Ajah,9639945315
Ajah,9639948158
Ajah,9639951352
Ajah,9639972494
Ajah,9639974450
Ajah,9639975835
Ajah,9639993378
Ajah,9639997754
Ajah,9639999954
Ajah,9640001615
Ajah,9640007064
Ajah,9640019278
Ajah,9640024751
Ajah,9640039966
Ajah,9640041369
Ajah,9640049530
Ajah,9640050022
Ajah,9640050307
Ajah,9640051672
Ajah,9640053638
Ajah,9640070741
Ajah,9640074615
Ajah,9640089703
Ajah,9640097029
Ajah,9640097988
Ajah,9640098882
Ajah,9640100570
Ajah,9640106187
Ajah,9640109951
Ajah,9640110773
Ajah,9640111677
Ajah,9640112715
Ajah,9640112791
Ajah,9640121674
Ajah,9640128202
Ajah,9640140884
Ajah,9640156687
Ajah,9640160644
Ajah,9640161407
Ajah,9640162105
Ajah,9640162583
Ajah,9640164714
Ajah,9640169771
Ajah,9640172535
Ajah,9640173666
Ajah,9640176148
Ajah,9640178953
Ajah,9640179826
Ajah,9640180679
Ajah,9640186798
Ajah,9640188242
Ajah,9640197022
Ajah,9640198483
Ajah,9640201312
Ajah,9640206922
Ajah,9640210594
Ajah,9640217768
Ajah,9640218435
Ajah,9640227473
Ajah,9640241059
Ajah,9640245655
Ajah,9640248395
Ajah,9640250080
Ajah,9640254947
Ajah,9640262452
Ajah,9640264999
Ajah,9640267756
Ajah,9640275340
Ajah,9640281473
Ajah,9640281576
Ajah,9640294464
Ajah,9640295478
Ajah,9640295643
Ajah,9640300899
Ajah,9640305234
Ajah,9640305557
Ajah,9640307719
Ajah,9640307836
Ajah,9640310511
Ajah,9640314935
Ajah,9640317833
Ajah,9640318964
Ajah,9640319325
Ajah,9640319631
Ajah,9640320374
Ajah,9640323973
Ajah,9640331598
Ajah,9640338717
Ajah,9640340842
Ajah,9640345720
Ajah,9640346569
Ajah,9640359330
Ajah,9640371950
Ajah,9640376821
Ajah,9640383755
Ajah,9640386402
Ajah,9640388042
Ajah,9640397334
Ajah,9640402384
Ajah,9640403666
Ajah,9640405017
Ajah,9640423127
Ajah,9640423220
Ajah,9640438583
Ajah,9640446256
Ajah,9640448535
Ajah,9640461619
Ajah,9640461750
Ajah,9640464988
Ajah,9640469134
Ajah,9640472613
Ajah,9640474129
Ajah,9640501373
Ajah,9640502806
Ajah,9640512360
Ajah,9640512872
Ajah,9640513312
Ajah,9640513336
Ajah,9640517011
Ajah,9640517396
Ajah,9640521023
Ajah,9640525849
Ajah,9640542024
Ajah,9640542141
Ajah,9640545977
Ajah,9640548882
Ajah,9640557662
Ajah,9640564802
Ajah,9640569182
Ajah,9640575239
Ajah,9640582895
Ajah,9640585092
Ajah,9640586824
Ajah,9640588316
Ajah,9643594763
Ajah,9646269941
Ajah,9647257129
Ajah,9648078183
Ajah,9648100899
Ajah,9649449023
Ajah,9653690875
Ajah,9653804728
Ajah,9655097186
Ajah,9655923430
Ajele,7770000018
Ajele,7770000532
Ajele,9630951304
Ajele,9639974838
Ajele,9639994519
Ajele,9640035425
Ajele,9640047330
Ajele,9640064735
Ajele,9640103382
Ajele,9640117473
Ajele,9640124589
Ajele,9640127126
Ajele,9640179015
Ajele,9640198782
Ajele,9640268306
Ajele,9640295753
Ajele,9640300851
Ajele,9640377433
Ajele,9640396519
Ajele,9640413230
Ajele,9640422003
Ajele,9640422010
Ajele,9640434712
Ajele,9640451540
Ajele,9640464397
Ajele,9640483057
Ajele,9640512676
Ajele,9640517004
Ajele,9640523216
Ajele,9640576858
Ajele,9655315415
Apapa,7770000022
Apapa,7770000089
Apapa,7770000122
Apapa,7770000127
Apapa,7770000139
Apapa,7770000144
Apapa,7770000152
Apapa,7770000158
Apapa,7770000262
Apapa,7770000339
Apapa,7770000345
Apapa,7770000377
Apapa,7770000386
Apapa,7770000427
Apapa,7770000482
Apapa,7770000492
Apapa,7770000497
Apapa,7770000516
Apapa,9639938182
Apapa,9639952005
Apapa,9639971002
Apapa,9639972432
Apapa,9639976382
Apapa,9639991707
Apapa,9640015311
Apapa,9640016239
Apapa,9640021688
Apapa,9640021877
Apapa,9640092323
Apapa,9640100343
Apapa,9640137226
Apapa,9640143335
Apapa,9640148574
Apapa,9640152232
Apapa,9640181896
Apapa,9640231320
Apapa,9640250327
Apapa,9640267213
Apapa,9640304701
Apapa,9640306901
Apapa,9640362826
Apapa,9640377804
Apapa,9640394412
Apapa,9640397970
Apapa,9640403185
Apapa,9640404962
Apapa,9640418802
Apapa,9640420937
Apapa,9640424681
Apapa,9640447253
Apapa,9640447284
Apapa,9640473517
Apapa,9640474521
Apapa,9640484999
Apapa,9640489190
Apapa,9640491249
Apapa,9640493566
Apapa,9640503573
Apapa,9640530353
Apapa,9640559989
Apapa,9640571853
Apapa,9640584370
Apapa,9640589265
Apapa,9641628792
Apapa,9653417748
Festac,7770000009
Festac,7770000083
Festac,7770000093
Festac,7770000175
Festac,7770000177
Festac,7770000178
Festac,7770000183
Festac,7770000190
Festac,7770000205
Festac,7770000214
Festac,7770000234
Festac,7770000236
Festac,7770000307
Festac,7770000341
Festac,7770000354
Festac,7770000366
Festac,7770000401
Festac,7770000464
Festac,7770000468
Festac,7770000471
Festac,7770000478
Festac,9612487797
Festac,9619323016
Festac,9639936061
Festac,9639937185
Festac,9639960297
Festac,9639970926
Festac,9639972858
Festac,9639973783
Festac,9639982491
Festac,9639986396
Festac,9639987128
Festac,9639989933
Festac,9639993141
Festac,9639996166
Festac,9639997503
Festac,9639999181
Festac,9640002650
Festac,9640007820
Festac,9640009800
Festac,9640016679
Festac,9640048564
Festac,9640051854
Festac,9640054381
Festac,9640058949
Festac,9640061002
Festac,9640061710
Festac,9640063659
Festac,9640065000
Festac,9640065907
Festac,9640070356
Festac,9640072068
Festac,9640074457
Festac,9640076066
Festac,9640076585
Festac,9640079665
Festac,9640083196
Festac,9640083471
Festac,9640095111
Festac,9640097177
Festac,9640097304
Festac,9640099793
Festac,9640119745
Festac,9640128848
Festac,9640132300
Festac,9640143531
Festac,9640144703
Festac,9640148237
Festac,9640148921
Festac,9640152160
Festac,9640156072
Festac,9640166426
Festac,9640189081
Festac,9640191075
Festac,9640196850
Festac,9640196915
Festac,9640197125
Festac,9640200377
Festac,9640208380
Festac,9640215829
Festac,9640217421
Festac,9640229817
Festac,9640231193
Festac,9640231399
Festac,9640231760
Festac,9640238068
Festac,9640239209
Festac,9640242702
Festac,9640245930
Festac,9640264810
Festac,9640273573
Festac,9640273999
Festac,9640277643
Festac,9640294127
Festac,9640300662
Festac,9640304361
Festac,9640309146
Festac,9640315365
Festac,9640321182
Festac,9640321704
Festac,9640327665
Festac,9640329047
Festac,9640336476
Festac,9640338865
Festac,9640339790
Festac,9640342750
Festac,9640342846
Festac,9640352238
Festac,9640362448
Festac,9640365566
Festac,9640366941
Festac,9640368103
Festac,9640373136
Festac,9640374140
Festac,9640377471
Festac,9640380826
Festac,9640391789
Festac,9640392061
Festac,9640393563
Festac,9640394508
Festac,9640405251
Festac,9640412398
Festac,9640419452
Festac,9640422096
Festac,9640425877
Festac,9640427417
Festac,9640449178
Festac,9640457360
Festac,9640468247
Festac,9640476862
Festac,9640481620
Festac,9640515055
Festac,9640524093
Festac,9640525100
Festac,9640534595
Festac,9640535970
Festac,9640543595
Festac,9640548480
Festac,9640552904
Festac,9640558944
Festac,9640563915
Festac,9640565919
Festac,9640571468
Festac,9640571808
Festac,9640578656
Festac,9640587742
Festac,9641469296
Festac,9642936351
Festac,9643313960
Festac,9646508013
Festac,9648279368
Festac,9649486109
Festac,9654405988
Ibeju,7770000028
Ibeju,7770000032
Ibeju,7770000066
Ibeju,7770000088
Ibeju,7770000108
Ibeju,7770000140
Ibeju,7770000153
Ibeju,7770000199
Ibeju,7770000204
Ibeju,7770000209
Ibeju,7770000238
Ibeju,7770000244
Ibeju,7770000261
Ibeju,7770000266
Ibeju,7770000285
Ibeju,7770000290
Ibeju,7770000384
Ibeju,7770000421
Ibeju,7770000426
Ibeju,7770000431
Ibeju,7770000444
Ibeju,7770000446
Ibeju,7770000450
Ibeju,7770000477
Ibeju,7770000485
Ibeju,7770000498
Ibeju,7770000501
Ibeju,7770000514
Ibeju,7770000533
Ibeju,9611059911
Ibeju,9612119535
Ibeju,9612190215
Ibeju,9613673764
Ibeju,9613869442
Ibeju,9616019365
Ibeju,9629267322
Ibeju,9630257336
Ibeju,9632910169
Ibeju,9634323637
Ibeju,9634494258
Ibeju,9636409553
Ibeju,9636720711
Ibeju,9636775924
Ibeju,9638859011
Ibeju,9639023963
Ibeju,9639935947
Ibeju,9639947876
Ibeju,9639956632
Ibeju,9639958193
Ibeju,9639966536
Ibeju,9639969269
Ibeju,9639971813
Ibeju,9639975914
Ibeju,9639982116
Ibeju,9639982381
Ibeju,9639983089
Ibeju,9639985760
Ibeju,9639990896
Ibeju,9639995750
Ibeju,9639997008
Ibeju,9640002423
Ibeju,9640003152
Ibeju,9640011935
Ibeju,9640014699
Ibeju,9640032857
Ibeju,9640036989
Ibeju,9640046003
Ibeju,9640048430
Ibeju,9640059843
Ibeju,9640065103
Ibeju,9640066416
Ibeju,9640104224
Ibeju,9640104602
Ibeju,9640113262
Ibeju,9640125483
Ibeju,9640129797
Ibeju,9640153796
Ibeju,9640156917
Ibeju,9640158777
Ibeju,9640160345
Ibeju,9640161146
Ibeju,9640168169
Ibeju,9640169702
Ibeju,9640176643
Ibeju,9640178180
Ibeju,9640181418
Ibeju,9640187836
Ibeju,9640187946
Ibeju,9640188046
Ibeju,9640207314
Ibeju,9640213825
Ibeju,9640213870
Ibeju,9640225314
Ibeju,9640226610
Ibeju,9640226768
Ibeju,9640243156
Ibeju,9640249330
Ibeju,9640264470
Ibeju,9640266955
Ibeju,9640270383
Ibeju,9640275948
Ibeju,9640290844
Ibeju,9640296028
Ibeju,9640306712
Ibeju,9640308462
Ibeju,9640309139
Ibeju,9640309366
Ibeju,9640319088
Ibeju,9640322419
Ibeju,9640322969
Ibeju,9640338638
Ibeju,9640344981
Ibeju,9640351396
Ibeju,9640351743
Ibeju,9640355868
Ibeju,9640356779
Ibeju,9640357154
Ibeju,9640365391
Ibeju,9640366271
Ibeju,9640372232
